artist_names,track_name,streams,release_week,weeks_after_release,occurence_percentage,log_occurence,normalized_streams,popularity_score1,popularity_score2,popularity_score_log,popularity_log_normalized,uri
Bagossy Brothers Company,Olyan Ő,278,2019-01-24,286,97.2027972027972,4.576799488858875,0.007064398533123315,0.03233233559549418,0.1074650429338103,-2.2305896663086213,76.22025660704284,spotify:track:0VTjzV78c7fn1uo1ApOSkg
Eminem,Without Me,260,2019-01-03,289,89.96539792387543,4.499425128891187,0.003811059324902363,0.017147576094160774,0.056316552097796145,-2.876766788860834,57.16372686528594,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
"Dzsúdló, Lil Frakk",Lej,233,2019-11-21,243,95.88477366255144,4.563147196213244,0.007357485123578085,0.03357328761283599,0.1080882299491923,-2.224807441401012,76.39078127756999,spotify:track:4FATnhRDq5PbfkZMafDuxb
Halott Pénz,Amikor Feladnád,227,2019-04-04,276,82.2463768115942,4.409719337752344,0.005054588398758319,0.02228931620638322,0.07141637049147606,-2.639228157324816,64.16902284172558,spotify:track:5pZDYdwuEWlCT2Rs7mNyvW
The Weeknd,Blinding Lights,225,2019-12-05,241,93.3609958506224,4.536473654701856,0.008630504298604378,0.039152055377409886,0.12524100994373763,-2.077515318489554,80.73460067789534,spotify:track:0sf12qNH5qcw8qpgymFOqD
Imagine Dragons,Believer,219,2019-01-03,289,75.77854671280276,4.32781522769216,0.004015281275126789,0.017377395445960914,0.055310035424504196,-2.894800914503794,56.63187911071941,spotify:track:0pqnGHJpmpxLKifKRmU6WP
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),204,2019-01-03,289,70.58823529411765,4.2568634917198755,0.0037844310986100936,0.016109806580602647,0.05060037630333626,-2.983796265891543,54.00730064545239,spotify:track:22skzmqfdWrjJylampe0kt
Follow The Flow,Maradok távol,203,2019-05-30,268,75.74626865671642,4.327389184519022,0.004541559369635376,0.019653094897011156,0.061672690072307815,-2.7859140704937597,59.8430812857014,spotify:track:14b5S9m1tvXKEiSWAdw62r
The Neighbourhood,Sweater Weather,199,2019-01-03,289,68.85813148788927,4.232048322600152,0.004872611326792891,0.020621126592236354,0.06446805696232541,-2.741585418746865,61.150385801667795,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6
Punnany Massif,Élvezd,192,2019-01-03,289,66.43598615916954,4.196238869903441,0.004191981714034097,0.017590556610354326,0.054621518455203355,-2.9073273629714196,56.26245928842819,spotify:track:15Zz41Ec3C6Rh6nDZa8331
Tankcsapda,Mennyország Tourist,180,2019-01-03,289,62.28373702422145,4.13170034876587,0.0036342715487213528,0.01501572102536189,0.046053876629863655,-3.0779433367650877,51.23079186235782,spotify:track:1B05KTWr9SkdVukhRcPJ8v
Tom Odell,Another Love,178,2019-01-03,289,61.5916955017301,4.1205270481677445,0.005456744962684736,0.022484665213695545,0.06881307760830378,-2.676361470589998,63.073917391608475,spotify:track:7jtQIBanIiJOMS6RyCx6jZ
Dzsúdló,Spanom,177,2020-04-09,223,79.37219730941703,4.374148147101802,0.004614759516283556,0.020185641787472123,0.06170987705008657,-2.7853112790334738,59.860858320805406,spotify:track:2iikrNErUXVZ9dgWzNHGsQ
Follow The Flow,Tavasz,167,2020-05-14,218,76.60550458715596,4.3386689356157575,0.0055430954118545345,0.024049655870567503,0.07269656846701932,-2.6214610968356427,64.69299452815459,spotify:track:5PHgY9VKDWLk5YNA1bKw9f
Krúbi,Nehézlábérzés,163,2019-01-03,289,56.40138408304498,4.032493698682422,0.0038154285699511783,0.015385691666101011,0.046287098318195066,-3.072892010755862,51.37976145748975,spotify:track:2wOfDoTh9AQxQBNMm0QGuo
"Azahriah, DESH",Mind1,163,2021-06-03,163,100.0,4.605170185988092,0.012211607232737075,0.056236529551197324,0.1691848393235091,-1.776763437931443,89.60413034200359,spotify:track:0urTgP4nVlcZuiMVAUepCQ
Glass Animals,Heat Waves,162,2020-08-06,206,78.64077669902912,4.364890352430894,0.008046016829395314,0.03511998123412422,0.10552909390964463,-2.2487685924286303,75.68413851466771,spotify:track:02MWAaffLxlfxAUY7c5dvx
"Eminem, Nate Dogg",Till I Collapse,162,2019-01-03,289,56.05536332179931,4.026339833108043,0.0033764609158453917,0.013594779080400765,0.040849814488582825,-3.197852998969599,47.69451370521885,spotify:track:4xkOaSrkexMciUUogZKVTS
Bruno X Spacc,Budán Vagy Pesten,161,2020-06-25,212,75.94339622641509,4.329988276300542,0.005075274655540277,0.021975879757494668,0.06595311536187715,-2.718811162695275,61.82202562401146,spotify:track:0vrf1NID7s25S8ISHVZlQM
"VALMAR, Manuel",Éget a nap,161,2021-06-03,163,98.77300613496932,4.592824350165792,0.007947193165933742,0.03650006228797166,0.10954250047592802,-2.2114426728291434,76.784924154024,spotify:track:63p0noYOc50p5KRUfJyukt
Lewis Capaldi,Someone You Loved,157,2019-01-03,289,54.325259515570934,3.994989303223967,0.0068589780876426145,0.027401544091179827,0.08182923727001384,-2.5031206753953197,68.18299391396128,spotify:track:2TIlqbIneP0ZY1O0EzYLlc
ByeAlex és a Slepp,Emlékszem (Vagy...),156,2020-08-06,206,75.72815533980582,4.327150024448048,0.005071746222738597,0.021946206791717614,0.06545513909006097,-2.7263902703800467,61.598508749194906,spotify:track:2kk7bHozcPeRC9WYfLDftA
Follow The Flow,Nem tudja senki,154,2019-05-30,268,57.46268656716418,4.051135807890864,0.005859462904176728,0.023737479986118536,0.07061675615895346,-2.6504878232815243,63.83696193814737,spotify:track:1YO5hgAhxTRErZKKWyrMnu
"Billie Eilish, Khalid",lovely (with Khalid),151,2019-01-03,289,52.24913494809689,3.9560233346905838,0.004600098522495446,0.01819809709686766,0.05392617173559514,-2.9201393579565225,55.88461836066442,spotify:track:0u2P5u6lvoDfwTYjAADbn4
Bruno X Spacc,Keverem,149,2020-10-01,198,75.25252525252525,4.320849461239015,0.00451182266935074,0.01949490655007012,0.05761546706395236,-2.8539642219109487,57.83620160959845,spotify:track:25Nui3DjJsjjr0aMFfO4S8
T. Danny,Megmondtam,146,2020-01-09,236,61.86440677966102,4.124945002670818,0.005695416997505234,0.023493281881985646,0.06915008718498052,-2.6714759600626126,63.217996891515654,spotify:track:4vtPjmwiNXDg7DOfB3gLet
Harry Styles,Watermelon Sugar,145,2019-11-21,243,59.67078189300411,4.088842485068117,0.006859171107458703,0.028046070236528872,0.08243691138668197,-2.4957219886461584,68.40118996139864,spotify:track:1e9oZCCiX42nJl0AcqriVo
"Lost Frequencies, Calum Scott",Where Are You Now,142,2021-08-05,154,92.20779220779221,4.524044641175723,0.007202672520558253,0.032585212018775206,0.09537663190444808,-2.3499216791233932,72.70101401552775,spotify:track:3uUuGVFu1V7jTQL60S1r8z
"Majka, Curtis, Király Viktor",Füttyös,140,2019-01-03,289,48.44290657439446,3.8803859204849633,0.005213696238772155,0.02023115347861688,0.059046920100111984,-2.829422895190768,58.55995444179115,spotify:track:6bsERSsjVL4Cpt0e2t77Vx
"DR BRS, Fekete Vonat, Halott Pénz",Hol van az a lány,140,2019-01-03,289,48.44290657439446,3.8803859204849633,0.004267295377587989,0.016558752901742996,0.04832860175669827,-3.0297317247106714,52.65260948317399,spotify:track:5qmqZ2Fh9dHhDT82afD08n
Dua Lipa,Don't Start Now,140,2019-10-31,246,56.91056910569105,4.041481072665033,0.007536063591633286,0.030456858367985996,0.08889180166893006,-2.4203353604118507,70.62443104025898,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
Eminem,The Real Slim Shady,137,2019-01-03,289,47.40484429065744,3.858724423703784,0.003771118796244678,0.014551708203757752,0.04228464460899832,-3.163331270442173,48.712600423952225,spotify:track:3yfqSUWxFvZELEM4PmlwIR
Juice WRLD,Lucid Dreams,133,2019-01-03,289,46.02076124567474,3.829092626097413,0.004997963888171822,0.01913766666969988,0.05527568576962929,-2.8954221458094036,56.61355826270625,spotify:track:285pBltuF7vW8TeWk8hdRR
"Lady Gaga, Bradley Cooper",Shallow,132,2019-01-03,289,45.674740484429066,3.82154542046203,0.006989189418846794,0.026709504816335643,0.07702651190985238,-2.5636056058721537,66.39922157611169,spotify:track:2VxeLyX666F8uXCJ0dZF8B
5 Seconds of Summer,Youngblood,130,2019-01-03,289,44.982698961937714,3.8062779483312417,0.004977384499000934,0.018945308858913,0.054464812394385616,-2.910200429970587,56.17772913502468,spotify:track:2iUXsYOEPhVqEBwsqP70rE
BSW,Yaay,129,2019-04-25,273,47.25274725274725,3.8555107951648036,0.006253396333610793,0.024110037070680417,0.06920264143071292,-2.6707162461229466,63.24040175665432,spotify:track:4gY9fdFTRmdyXKTmxRa4oI
Mabel,Don't Call Me Up,128,2019-01-24,286,44.75524475524475,3.801208639087856,0.005828461912459693,0.02215519977423631,0.06348987320300695,-2.75687486291932,60.69948195899303,spotify:track:5WHTFyqSii0lmT9R21abT8
"SAINt JHN, Imanbek",Roses - Imanbek Remix,127,2019-09-19,252,50.39682539682539,3.919928184935259,0.010845039093138956,0.042511774407920117,0.12162852171019305,-2.106783783415679,79.87143893339206,spotify:track:2Wo6QQD1KMDWeFkkjLqwx5
Vance Joy,Riptide,126,2019-01-03,289,43.59861591695502,3.7750254048271374,0.0033589770340882877,0.012680223637914196,0.0362196133096131,-3.318154502740318,44.14667967554915,spotify:track:7yq4Qj7cqayVTp3FF9CWbm
"Beton.Hofi, Lil Frakk, Krúbi",OFFWHITE,125,2021-06-17,161,77.63975155279503,4.352079558305929,0.003825881060315783,0.016650538755110134,0.04748200624720369,-3.0474044555587336,52.13141968974092,spotify:track:02CdOh37OAq88RNK1WL8TD
Ava Max,Sweet but Psycho,124,2019-01-03,289,42.90657439446367,3.759025063480696,0.007938540276181051,0.029841171865615537,0.08495590477391789,-2.4656229244638372,69.2888470630985,spotify:track:25sgk305KZfyuqVBQIahim
Ava Max,Kings & Queens,123,2020-03-12,227,54.18502202643172,3.9924045238791064,0.007495828726215415,0.02992638051676538,0.08505537013508414,-2.464452821215473,69.32335479569248,spotify:track:76nqCfJOcFFWBJN32PAksn
ByeAlex és a Slepp,Ájkosz,123,2021-12-23,134,91.7910447761194,4.519514741409598,0.0052512295599581515,0.0237330094067567,0.067452858135659,-2.696326323087376,62.48513021216863,spotify:track:1zoULyy3P5grr7iRLKKmCm
Linkin Park,In the End,123,2019-01-03,289,42.56055363321799,3.7509278532480765,0.0033838804551896335,0.012692691451432576,0.036074578708481374,-3.322166852602968,44.028350719256295,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
Bagossy Brothers Company,Visszajövök,123,2019-12-19,239,51.46443514644351,3.9408909894289983,0.004209816551348273,0.01659042811435747,0.0471525449987395,-3.0543672947158895,51.92607730472838,spotify:track:3UGHQNNcJNkowbiI8Iahy0
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),123,2020-01-23,234,52.56410256410257,3.9620334260028076,0.006108830014042966,0.024203388709407435,0.06878974836427945,-2.6767005514785334,63.06391749403903,spotify:track:7FIWs0pqAYbP91WWM0vlTQ
"Young Fly, DESH",24 karát,123,2022-01-06,132,93.18181818181817,4.534552618774138,0.004923929985151564,0.02232781960882953,0.06345909289212137,-2.757359787096893,60.68518096985258,spotify:track:4f1ZqRQsjJq06CHmpvju2p
Tones And I,Dance Monkey,122,2019-05-16,270,45.18518518518518,3.810769271722973,0.013277611863673605,0.05059791529195177,0.1435630952069858,-1.9409806525632811,84.7611699128571,spotify:track:1rgnBhdG2JDFTbYkYRZAku
Billie Eilish,bad guy,121,2019-04-04,276,43.84057971014493,3.7805598658676827,0.011961349095816363,0.04522059633327604,0.12808603460547993,-2.055053095495728,81.39703827527907,spotify:track:2Fxmhks0bxGSBdJ92vM42m
Imagine Dragons,Bones,119,2022-03-17,122,97.54098360655738,4.580272634366364,0.00595642920414754,0.027282069682297596,0.0770071153036173,-2.56385745485719,66.39179425083773,spotify:track:0HqZX76SFLDz2aW8aiqi7G
Regard,Ride It,119,2019-08-01,259,45.94594594594595,3.827465617400083,0.007268061173794445,0.02781825424785873,0.07852056450835186,-2.5443947202422077,66.96577337838936,spotify:track:2tnVG71enUj33Ic2nFN6kZ
"Rácz Gergő, Orsovai Reni",Mostantól,118,2019-12-19,239,49.37238493723849,3.8993912585222454,0.00683215110419886,0.02664123029261614,0.07506548113070725,-2.5893944646172313,65.63867754487073,spotify:track:25dMOeb3nDs8BPjxrQyOjR
Travis Scott,goosebumps,116,2019-01-03,289,40.13840830449827,3.692333688982024,0.0048491163981061606,0.017904555838522546,0.05026788101313774,-2.990388954281898,53.81287444556973,spotify:track:6gBFPUFcJLzWGx4lenP6h2
Panic! At The Disco,High Hopes,115,2019-01-03,289,39.792387543252595,3.683675626238909,0.007365655591446702,0.02713268597348255,0.07603754409689972,-2.5765280593992697,66.01812309493471,spotify:track:1rqqCSm0Qe4I9rUvWncaom
Tiësto,The Business,115,2020-09-17,200,57.49999999999999,4.051784947803305,0.009125530094151051,0.0369746854762073,0.10361909175205965,-2.2670336828138007,75.14547933591791,spotify:track:6f3Slt0GbA2bPZlz0aIFXN
Azahriah,aight,114,2021-04-15,170,67.05882352941175,4.2055701973323245,0.004716836087058984,0.01983698527343688,0.055489504959518716,-2.8915613759398666,56.72741694522091,spotify:track:6aBPkT8tZnZZ6ILg67OuAh
"Azahriah, DESH",El Barto,114,2021-07-15,157,72.61146496815286,4.285122829034279,0.006125746158395551,0.026249574708209808,0.07342728171033745,-2.6114597269926434,64.98794678693875,spotify:track:5HiMjc8jz0OeTnUQgp15FP
"R3HAB, A Touch Of Class",All Around The World (La La La),113,2019-04-11,275,41.090909090909086,3.7157869070338605,0.004845201872731579,0.018003737680631942,0.050267721069921785,-2.9903921361043104,53.81278060985299,spotify:track:02itaCXOdC54J0ISjqqFAp
Harry Styles,As It Was,113,2022-03-31,120,94.16666666666667,4.545066261918386,0.0078054763884918546,0.035476407391534896,0.09905266245014474,-2.3121036263387156,73.81631324620936,spotify:track:4LRPiXqCikLlN15c3yImP7
Travis Scott,SICKO MODE,113,2019-01-03,289,39.10034602076124,3.666131316588,0.004565027984897717,0.016735992056534133,0.046728084770492784,-3.0634099081194948,51.65939991047401,spotify:track:2xLMifQCjDGFmkHkpNLD9h
"Azahriah, DESH",Tisztán iszom,112,2022-05-26,112,100.0,4.605170185988092,0.0074449149464136085,0.03428510034844108,0.09554645287414264,-2.3481427322278217,72.75347726939624,spotify:track:1K17dNOOtcoC1gLcAbccPp
"Azahriah, DESH",Pullup,112,2022-05-26,112,100.0,4.605170185988092,0.0125537532208366,0.05781217005484869,0.16111219525564788,-1.8256542917533902,88.16228107584894,spotify:track:6Rc6C6S4lgT5j1OekgI155
"Azahriah, DESH",Miafasz,112,2022-05-26,112,100.0,4.605170185988092,0.01008472402830017,0.04644187042904567,0.12942520042930586,-2.044652167581843,81.70377397546906,spotify:track:7cU3vDXfkH4bAemYBxuoJT
Alec Benjamin,Let Me Down Slowly,111,2019-01-03,289,38.4083044982699,3.6482736991879934,0.004890052059824022,0.01784024831751605,0.049623086058275916,-3.003299108813746,53.43213867635042,spotify:track:2qxmye6gAegTMjLKEBoR3d
"Manuel, T. Danny",Talán,111,2020-11-12,192,57.8125,4.057205015272644,0.006406993062423572,0.025994484385681953,0.07230429267314174,-2.626871778507429,64.53342710832034,spotify:track:5uWUKvPNekWal505BdKgfD
OneRepublic,I Ain't Worried,110,2022-05-19,113,97.34513274336283,4.578262733068167,0.006160775505642533,0.028205648904282402,0.07830394215059787,-2.547157330501804,66.8843007252429,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB
"VALMAR, Bruno X Spacc, Manuel",Visz a vérem,109,2020-07-16,209,52.15311004784689,3.954183816252424,0.005020064921730728,0.019850259470044134,0.05500081374833173,-2.900407298434904,56.46654019914526,spotify:track:5ljaIN5amyFn4fluFmjXy6
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,109,2021-08-19,152,71.71052631578947,4.272637547370959,0.006338433262454804,0.027081827948669396,0.07503793979201917,-2.5897614294582434,65.62785531647103,spotify:track:6zSpb8dQRaw0M1dK8PBwQz
"Azahriah, DESH",Habibi,109,2022-05-26,112,97.32142857142857,4.57801919692214,0.007451950453408822,0.03411517223021823,0.09452582907836016,-2.358882158247994,72.43675885857648,spotify:track:38U5WKJpBQncqAss18dLrO
"VALMAR, Nemazalány, Sofi",Álmatlan esték,108,2021-11-04,141,76.59574468085107,4.338541522734143,0.005243534572769153,0.022749292469851006,0.06290957684661846,-2.7660568717522045,60.42869362819941,spotify:track:3JEYn4Ewai3sGkJl01v9Of
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),108,2020-04-02,224,48.214285714285715,3.8756553612572713,0.007895819101593973,0.030601473632610253,0.08462354421183772,-2.4695427507119936,69.1732467379346,spotify:track:5nujrmhLynf4yMoMtj8AQF
"Topic, A7S",Breaking Me,108,2019-12-19,239,45.18828451882845,3.8108378611808003,0.009818607625231254,0.03741712168230977,0.10347114289255771,-2.268462517784474,75.10334129796455,spotify:track:3H7ihDc1dqLriiWXwsc2po
"Shawn Mendes, Camila Cabello",Señorita,108,2019-06-20,265,40.75471698113208,3.707571587126089,0.011232668939791156,0.04164592420876342,0.1151652286694967,-2.1613874107477113,78.26111320079603,spotify:track:6v3KW9xbzN5yKLt9YKDYA2
Arctic Monkeys,Do I Wanna Know?,107,2019-01-03,289,37.0242214532872,3.6115723323375652,0.003241563409298333,0.011707140722539689,0.032309928732418204,-3.432380704891951,40.77801349623135,spotify:track:3rq5w4bQGigXOfdN30ATJt
